Formato,Protagonismo do produto,Seguidores,Taxa de engajamento perfil,Previsão de impressões,Variação Views,Laudo,Count acertos microcomunidades
Reels,3,1.400.000,"0,23%",2.970,"7273,74%",Viral,1
TikTok,,613.000,"0,02%",6.545,"101,08%",Viral,0
TikTok,4,220.000,"1,35%",3.220,"69,31%",Mundo ideal,1
TikTok,,5.190.000,"0,30%",45.320,"1240,28%",Viral,0
TikTok,,220.000,"1,35%",3.220,"89,12%",Mundo ideal,0
Reels,4,1.400.000,"0,23%",2.970,"7408,42%",Viral,0
Reels,2,5.600.000,"0,93%",22.000,"8652,83%",Viral,1
TikTok,,322.000,,0,#DIV/0!,#DIV/0!,0
Reels,,10.500.000,"2,24%",141.040,#DIV/0!,#DIV/0!,0
Reels,,6.200.000,"0,66%",14.678,#DIV/0!,#DIV/0!,0
Reels,,10.300.000,"0,44%",15.570,#DIV/0!,#DIV/0!,0
Reels,,128.700,,10.368,#DIV/0!,#DIV/0!,0
